name,price,url,price_original,price_discounted,pct_discount,article_id
Washed Linen Duvet Cover Set,$59.99 $129,http://www.hm.com/us/product/13472?article=13472-N,129.0,59.99,53.49612403100774,13472
Candle in Glass Jar,$6.99 $17.99,http://www.hm.com/us/product/35079?article=35079-D,17.99,6.99,61.145080600333515,35079
Glittery Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/72462?article=72462-A,17.99,7.99,55.5864369093941,72462
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-C,12.99,6.99,46.18937644341801,58926
Stoneware Bowl,$17.99 $24.99,http://www.hm.com/us/product/74242?article=74242-A,24.99,17.99,28.011204481792717,74242
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/70965?article=70965-D,9.99,3.99,60.06006006006006,70965
Braided Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/62818?article=62818-B,17.99,7.99,55.5864369093941,62818
Jacquard-weave Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/69163?article=69163-B,17.99,7.99,55.5864369093941,69163
Scented Candle in Glass Holder,$9.99 $17.99,http://www.hm.com/us/product/40910?article=40910-C,17.99,9.99,44.46914952751528,40910
2-pack Curtain Panels,$27.99 $34.99,http://www.hm.com/us/product/69699?article=69699-B,34.99,27.99,20.00571591883396,69699
Porcelain Cup,$2.99 $5.99,http://www.hm.com/us/product/76916?article=76916-A,5.99,2.99,50.08347245409015,76916
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-C,5.99,2.99,50.08347245409015,68473
Color-block Cushion Cover,$9.99 $12.99,http://www.hm.com/us/product/74498?article=74498-A,12.99,9.99,23.094688221709006,74498
King/Queen Duvet Cover Set,$39.99 $49.99,http://www.hm.com/us/product/41512?article=41512-E,49.99,39.99,20.004000800160032,41512
Star-print Duvet Cover Set,$39.99 $49.99,http://www.hm.com/us/product/76727?article=76727-A,49.99,39.99,20.004000800160032,76727
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76977?article=76977-A,17.99,7.99,55.5864369093941,76977
Patterned Duvet Cover Set,$19.99 $29.99,http://www.hm.com/us/product/73369?article=73369-A,29.99,19.99,33.344448149383126,73369
Patterned Mug,$2.99 $5.99,http://www.hm.com/us/product/59417?article=59417-D,5.99,2.99,50.08347245409015,59417
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/76797?article=76797-A,17.99,7.99,55.5864369093941,76797
Metal Tray,$14.99 $24.99,http://www.hm.com/us/product/76794?article=76794-A,24.99,14.99,40.01600640256102,76794
Porcelain Serving Dish,$9.99 $24.99,http://www.hm.com/us/product/80432?article=80432-A,24.99,9.99,60.024009603841534,80432
Metal Box,$7.99 $12.99,http://www.hm.com/us/product/78352?article=78352-A,12.99,7.99,38.49114703618168,78352
Stoneware Jar,$7.99 $17.99,http://www.hm.com/us/product/70658?article=70658-A,17.99,7.99,55.5864369093941,70658
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-A,9.99,4.99,50.050050050050054,72111
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-A,12.99,9.99,23.094688221709006,77665
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/70603?article=70603-A,17.99,7.99,55.5864369093941,70603
Bottle Stopper,$3.99 $6.99,http://www.hm.com/us/product/72262?article=72262-B,6.99,3.99,42.91845493562232,72262
Round Tray,$7.99 $17.99,http://www.hm.com/us/product/70427?article=70427-A,17.99,7.99,55.5864369093941,70427
Bottle Stopper,$2.99 $6.99,http://www.hm.com/us/product/72262?article=72262-A,6.99,2.99,57.22460658082975,72262
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-B,12.99,9.99,23.094688221709006,77665
2-pack Curtain Panels,$14.99 $34.99,http://www.hm.com/us/product/73380?article=73380-A,34.99,14.99,57.15918833952558,73380
Candle in Glass Jar,$7.99 $17.99,http://www.hm.com/us/product/35079?article=35079-C,17.99,7.99,55.5864369093941,35079
Satin Duvet Cover Set,$24.99 $49.99,http://www.hm.com/us/product/74773?article=74773-A,49.99,24.99,50.01000200040009,74773
Pile Throw,$29.99 $79.99,http://www.hm.com/us/product/75033?article=75033-A,79.99,29.99,62.50781347668459,75033
Jacquard-weave Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/60637?article=60637-C,12.99,4.99,61.585835257890686,60637
Patterned Duvet Cover Set,$19.99 $24.99,http://www.hm.com/us/product/70306?article=70306-A,24.99,19.99,20.008003201280513,70306
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/60621?article=60621-B,5.99,2.99,50.08347245409015,60621
Tall Stoneware Vase,$14.99 $34.99,http://www.hm.com/us/product/69643?article=69643-A,34.99,14.99,57.15918833952558,69643
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-B,17.99,6.99,61.145080600333515,72455
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72460?article=72460-B,17.99,6.99,61.145080600333515,72460
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72462?article=72462-B,17.99,6.99,61.145080600333515,72462
Wool-blend Rug,$99 $199,http://www.hm.com/us/product/71871?article=71871-A,199.0,99.0,50.25125628140703,71871
Washed Linen Duvet Cover Set,$54.99 $99,http://www.hm.com/us/product/73734?article=73734-A,99.0,54.99,44.45454545454545,73734
Cotton Velvet Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/74267?article=74267-A,17.99,6.99,61.145080600333515,74267
Color-block Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/73344?article=73344-A,12.99,4.99,61.585835257890686,73344
Scented Candle in Holder,$7.99 $17.99,http://www.hm.com/us/product/73325?article=73325-C,17.99,7.99,55.5864369093941,73325
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/74264?article=74264-A,9.99,3.99,60.06006006006006,74264
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-A,17.99,6.99,61.145080600333515,72455
Texture-patterned Plate,$4.99 $12.99,http://www.hm.com/us/product/70799?article=70799-B,12.99,4.99,61.585835257890686,70799
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-D,5.99,2.99,50.08347245409015,68473
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-C,9.99,4.99,50.050050050050054,72111
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-B,12.99,6.99,46.18937644341801,58926
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/58211?article=58211-A,5.99,2.99,50.08347245409015,58211
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/75469?article=75469-A,79.99,34.99,56.257032129016125,75469
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76982?article=76982-A,17.99,7.99,55.5864369093941,76982
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/74825?article=74825-A,79.99,34.99,56.257032129016125,74825
Patterned Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/74263?article=74263-A,5.99,2.99,50.08347245409015,74263
Sequined Table Runner,$14.99 $24.99,http://www.hm.com/us/product/78047?article=78047-A,24.99,14.99,40.01600640256102,78047
Jacquard-weave Cushion Cover,$5.99 $12.99,http://www.hm.com/us/product/60637?article=60637-G,12.99,5.99,53.88760585065435,60637
Cushion Cover with Tassels,$12.99 $17.99,http://www.hm.com/us/product/78381?article=78381-A,17.99,12.99,27.793218454697044,78381
